Facility Information,,,,,,,,,,,,,,, Capacity ,,Population,,,,ADP: Fiscal Year,,,,,,,,,,ADP - Monthly,,,,,,,,,,,,,Facility Average Length of Stay,,,,Facility Bookins,,,,Initial Bookins,,,,ADP: Initial Bookins,,,,ADP: Criminality,,,,,,,,FY18 ADP: Detainee Classification Level,,,,FY18 ADP: Criminality and Gender,,,,FY18 ADP: ICE Threat Level,,,,FY18 ADP: Mandatory Detention,,Medical,,Contract,,,,,,,Standards Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility Statistics - FY 2018,,,,Facility Statistics - FY 2017,,,
DETLOC,Name,Address,City,County,State,Zip,Circuit,AOR,Docket,Type,Type Detailed,ICE Funded,Male/Female,"Levels A,B,C,D",Capacity,Current FY Utilization,Population Count,Date of Last Use,Date of First Use,FY18 Max Population Count,FY18 ADP,FY17 ADP,FY16 ADP,FY15 ADP,FY14 ADP,FY13 ADP,FY12 ADP,FY11 ADP,FY10 ADP,FY09 ADP,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,FY18 ALOS,FY17 ALOS,FY16 ALOS,FY15 ALOS,FY18 Facility Bookins,FY17 Facility Bookins,FY16 Facility Bookins,FY15 Facility Bookins,FY18 Initial Bookins,FY17 Initial Bookins,FY16 Initial Bookins,FY15 Initial Bookins,FY18 Initial Bookin ADP,FY17 Initial Bookin ADP,FY16 Initial Bookin ADP,FY15 Initial Bookin ADP,FY18 Non-Criminal,FY18 Criminal,FY17 Non-Criminal,FY17 Criminal,FY16 Non-Criminal,FY16 Criminal,FY15 Non-Criminal,FY15 Criminal,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Non-Mandatory,Medical Provider Onsite?,Provider Type,Facility Operator,Facility Owner,Best Known Contract Initiation Date,Best Known Contract Expiration Date,Guaranteed Minimum,Per Diem Rate Detailed,ICE Telephone Services,Authorization Status,Authorizing Authority,Over/Under 72,Contractually Obligated Inspection Standard,PREA/Standard 2.11 Status,Current Inspection Frequency,Last Inspection Type,Last Inspection Standard,Last Inspection Pre-Occ?,Last Inspection Rating - Final,Last Inspection Rating - Recommended,Last Inspection Date,Second to Last Inspection Type,Second to Last Inspection Standard,Second to Last Inspection Pre-Occ?,Second to Last Rating,Second to Last Inspection Date,Next Inspection Date,Next Inspection Standard,Next Inspection Type,Next Insp Pre-Occ?,CY17 Rating,CY16 Rating,CY15 RATING,CY14 RATING,CY13 RATING,CY12 RATING,CY11 RATING,CY10 RATING,EMDD Notes,EMDD USE,ACA,NCCHC,JCHCO,DSM Assigned?,DSM Assignment Type,FY18 Calendar Days in Use,FY18 Possible Days,FY18 % of Days in Use,FY18 Total Mandays,FY17 Calendar Days in Use,FY17 % of Days in Use,FY17 Total Mandays,FY17 Max Pop Count
AGAHOLD,AGANA HOLD,108 HERNAN CORTEZ AV,HAGATNA,GUAM,GU,96910,9,SFR,AGA,Other,HOLD,Yes,Female/Male,"B, C, D",AS NEEDED,,0,11/14/16,3/24/02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,1,0,17,6,7,0,16,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FEDERAL,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,1,0%,1,1
AGC,AGUADILLA,505 CORNER BELT AND GUN ST.,AGUADILLA,AGUADILLA,PR,00603,1,MIA,SAJ,Other,HOLD,Yes,Female/Male,"A, B, C, D",65,0%,0,8/5/13,2/7/87,0,0,0,0,0,0,0,0,0,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MVM,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,Regular,N/A,No,Meets Standard,,9/10/09,Regular,NDS,No,Superior,5/7/08,,N/A,N/A,No,,,,,,,,,,No,NO,YES,YES,No,,0,400,0%,0,0,0%,0,0
AIRHOPR,AIRPORT HOTEL (SAN JUAN),LUIS MUNOZ MARIN INTR AIRPORT,ISLA VERDE,CAROLINA,PR,00913,1,MIA,SAJ,Other,Other,Yes,Female/Male,A,AS NEEDED,,0,4/18/17,10/24/90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,2,0,4,5,2,0,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HOTEL,,,,,,,NOT INSPECTED,OTHER,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,4,1%,4,1
ALAMCNC,ALAMANCE COUNTY DETENTION FACILITY,109 SOUTH MAPLE STREET,GRAHAM,ALAMANCE,NC,27253,4,ATL,RDU,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,9/18/12,5/15/06,0,0,0,0,0,0,0,29,41,46,57,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,5/14/07,,,$66.95,,NOT INSPECTED,DMCP,Over 72,,Standard 2.11,N/A,Regular,NDS,No,Acceptable,Acceptable,7/12/12,Regular,NDS,No,Overcome by Events,7/6/11,,N/A,N/A,No,,,,,,Acceptable,Overcome by Events,Superior,2008 DEFICIENT,Yes,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
ALMHOLD,ALAMOSA HOLDROOM,1921 STATE STREET,ALAMOSA,ALAMOSA,CO,81101,10,DEN,DEN,Other,HOLD,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,10/26/12,2/26/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,32,138,36,38,14,64,31,35,15,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
ALBANWY,ALBANY COUNTY JAIL,ALBANY COUNTY COURTHOUSE,LARAMIE,ALBANY,WY,82070,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,1/29/08,2/6/92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
ALBCONY,ALBANY COUNTY JAIL,840 ALBANY SHAKER ROAD,ALBANY,KINGS,NY,12211,2,BUF,ALB,USMS IGA,USMS IGA,Yes,Female/Male,"A, B, C, D",14,123%,18,11/4/17,7/13/88,20,17,28,29,9,16,4,4,13,3,5,51,27,28,35,23,20,22,22,26,16,20,17,19,20,24,28,14,75,409,391,219,64,285,122,161,62,44,23,33,12,6,24,5,27,3,6,3,8,6,2,2,1,2,5,10,3,1,1,12,10,7,YES,COUNTY,COUNTY (SHERIFF),COUNTY,7/1/09,,,$119.30,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,FPBDS,,Annual,Regular,NDS,No,Pending,Acceptable,9/28/17,ORSA,NDS,No,Acceptable,7/22/16,,NDS,Regular,No,Pending,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,Yes,NO,YES,NO,No,NONE,35,400,9%,"6,914",372,102%,"10,390",60
ALBHOLD,ALBANY HOLD ROOM,1086 TROY-SCHENECTADY RD,LATHAM,ALBANY,NY,12110,2,BUF,,Other,HOLD,Yes,Female/Male,,AS NEEDED,,0,6/14/17,5/25/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,15,19,0,0,14,17,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,,,,No,,0,400,0%,0,1,0%,1,1
ALBEMVA,ALBEMARLE-CHARLOTTSVILLE,UNAVAILABLE,CHARLOTTESVILLE,ABERMARLE,VA,22901,4,WAS,HBG,IGSA,IGSA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,8/13/14,12/11/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,b)(4),,NOT INSPECTED,DMCP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
ABQHOLD,ALBUQUERQUE HOLD ROOM,1720 RANDOLPH ROAD,ALBUQUERQUE,BERNALILLO,NM,87106,10,ELP,ABQ,Other,HOLD,Yes,Male,"A, B",AS NEEDED,,0,10/24/17,5/26/09,1,0,1,0,0,1,6,3,9,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,80,712,"2,888","2,412",77,656,"2,688","2,400",74,66,98,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FEDERAL,,,,,,,NOT INSPECTED,DMCP,Under 72,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,1,400,0%,11,110,30%,190,10
ALEXAVA,ALEXANDRIA CITY JAIL,2003 MILL ROAD,ALEXANDRIA,ALEXANDRIA CITY,VA,22314,4,WAS,WAS,USMS IGA,USMS IGA,Yes,Female/Male,"A, B, C, D",AS NEEDED,,0,10/31/17,11/28/89,4,1,2,1,1,0,0,0,0,0,0,1,3,0,4,2,1,1,2,2,2,1,1,0,2,2,2,1,85,407,253,166,8,82,59,96,8,17,22,14,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,YES,CONMED,CITY,CITY,4/7/82,5/21/22,,$113.50,,AUTHORIZED,DMCP,Under 72,NDS,,Annual,ORSA,NDS,No,Acceptable,,9/27/17,ORSA,NDS,No,Acceptable,9/26/16,,NDS,ORSA,No,Acceptable,Acceptable,,,,,Acceptable,Acceptable,,No,YES,YES,NO,No,,17,400,4%,469,213,58%,614,13
JENATLA,ALEXANDRIA STAGING FACILITY,1511 ARNOLD DRIVE,ALEXANDRIA,COUNTY,LA,71303,5,NOL,OAK,Other,STAGING,Yes,Male,"A, B, C, D",400,63%,286,11/4/17,11/10/14,367,252,246,200,167,0,0,0,0,0,0,218,246,279,233,238,249,259,228,234,258,286,251,257,3,3,3,3,641,"31,220","21,268","19,015",0,23,3,8,0,2,0,0,86,166,96,149,49,151,37,130,71,43,77,60,166,86,0,0,76,42,47,86,249,2,YES,IHSC,GEO,COUNTY,11/1/13,10/31/18,"1,170",b)(4),,NOT INSPECTED,DMCP,Under 72,PBNDS 2011,PREA,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,,,,No,,35,400,9%,"100,617",372,102%,"89,688",394
BHCALCA,ALHAMBRA BHC HOSPITAL,4619 N ROSEMEAD BLVD.,ROSEMEAD,LOS ANGELES,CA,91770,9,LOS,LOS,Other,HOSPITAL,No,Female/Male,"A, B, C, D",AS NEEDED,,0,1/22/15,7/3/08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HOSPITAL,,,,,,,NOT INSPECTED,OTHER,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
ALHAMCA,ALHAMBRA CITY JAIL,211 S. FIRST ST.,ALHAMBRA,LOS ANGELES,CA,91801,9,LOS,LOS,USMS IGA,USMS IGA,Yes,Female,"A, B, C, D",AS NEEDED,,0,3/8/16,7/9/08,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,,CITY,CITY,3/31/98,,,$85.00,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Under 72,FPBDS,,N/A,ORSA,NDS,No,Acceptable,,6/26/15,ORSA,NDS,No,Acceptable,5/20/14,,N/A,N/A,No,,,Acceptable,Acceptable,Acceptable,,Acceptable,Superior,,No,NO,NO,NO,No,NONE,0,400,0%,0,0,0%,0,0
ALLEGNY,ALLEGANY COUNTY JAIL,4884 STATE ROUTE 19,BELMONT,ALLEGANY,NY,14813,2,BUF,BUF,IGSA,IGSA,Yes,Female,"A, B, C, D",AS NEEDED,,7,11/4/17,11/5/87,9,8,11,12,8,9,9,10,17,10,11,10,7,10,13,13,13,11,14,12,10,11,8,8,80,38,47,34,21,114,96,75,16,73,19,53,14,11,3,8,6,3,8,4,9,3,3,5,5,2,0,1,0,0,3,6,1,2,0,6,6,2,YES,COUNTY,COUNTY (SHERIFF),COUNTY,8/17/07,,,$95.00,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,,Annual,Regular,NDS,No,Acceptable,Acceptable,2/9/17,ORSA,NDS,No,Acceptable,6/16/16,,NDS,Regular,No,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,Acceptable,Acceptable,,No,NO,NO,NO,No,NONE,35,400,9%,"3,211",372,102%,"4,128",19
ALLEGPA,ALLEGHENY COUNTY JAIL,950 SECOND AVENUE,PITTSBURGH,ALLEGHENY,PA,15219,3,PHI,PIT,USMS IGA,USMS IGA,Yes,Female/Male,"A, B, C, D",5,0%,0,9/30/14,4/2/87,0,0,0,0,0,4,5,6,6,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,14,0,0,10,0,0,0,10,0,0,1,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,ALLEGHENY CORRECTIONAL HEALTH,COUNTY (CORRECTIONS),COUNTY,12/31/01,,,$73.27,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,NDS,,N/A,ORSA,NDS,No,Acceptable,,9/29/14,Regular,NDS,No,Acceptable,10/18/13,,N/A,N/A,No,,,,Acceptable,Acceptable,,Acceptable,Acceptable,2008 DEFICIENT,Yes,YES,YES,NO,No,NONE,0,400,0%,0,0,0%,0,0
APPSCLA,ALLEN PARISH PUBLIC SAFETY COMPLEX,7340 HIGHWAY 26 WEST,OBERLIN,ALLEN,LA,70655,5,NOL,OAK,IGSA,IGSA,Yes,Male,"A, B",AS NEEDED,,55,11/4/17,5/18/16,56,52,50,18,0,0,0,0,0,0,0,51,52,50,53,52,49,46,46,52,54,50,52,53,180,53,47,,48,309,129,0,8,92,46,0,10,12,5,0,52,0,48,2,17,1,0,0,44,6,2,0,0,52,0,0,0,0,0,52,40,12,YES,COUNTY,COUNTY,COUNTY,8/1/15,7/31/25,,$51.00,,AUTHORIZED,DMCP,Over 72,PBNDS 2011,PREA,Annual,Regular,PBNDS 2011,No,Meets Standard,Meets Standard,5/18/17,Regular,PBNDS 2011,No,Meets Standard,8/25/16,12/5/17,PBNDS 2011,Regular,No,Meets Standard,Meets Standard,Special Review - Pre-Occupancy,,,,,,,Yes,NO,NO,NO,No,,35,400,9%,"20,766",372,102%,"18,385",60
BOPALM,ALLENWOOD (MEDICAL) FEDERAL CORRECTIONAL INSTITUTE,P.O. BOX 2500,WHITE DEER,UNION,PA,17887,3,PHI,PHI,BOP,BOP,No,Female/Male,"A, B, C, D",AS NEEDED,,0,3/18/10,6/18/91,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,BOP,,,,,Not ICE Funded,,NOT INSPECTED,BOP,,,,N/A,N/A,,No,,,,N/A,,No,,,,N/A,N/A,No,,,,,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0
