DETLOC,fullA.x,ObjectId,x,y,Name,City,County,State,Zip,Circuit,AOR,Docket,Type,Type.Detailed,ICE.Funded,Male.Female,Capacity,Current.FY.Utilization,Population.Count,Date.of.Last.Use,Date.of.First.Use,FirstYear,FY18.Max.Population.Count,FY18.Non.Criminal,FY18.Criminal,FY17.Non.Criminal,FY17.Criminal,FY16.Non.Criminal,FY16.Criminal,FY15.Non.Criminal,FY15.Criminal,Male.Crim,Male.Non.Crim,Female.Crim,Female.Non.Crim,Mandatory,Non.Mandatory,Medical.Provider.Onsite.,Provider.Type,Facility.Operator,Facility.Owner,Best.Known.Contract.Initiation.Date,Best.Known.Contract.Expiration.Date,YearExpiration,Guaranteed.Minimum,Per.Diem.Rate.Detailed,ICE.Telephone.Services,Authorization.Status,Authorizing.Authority,Over.Under.72,Contractually.Obligated.Inspection.Standard,PREA.Standard.2.11.Status,Last.Inspection.Pre.Occ.,Last.Inspection.Rating...Final,Last.Inspection.Rating...Recommended,Last.Inspection.Date,CY17.Rating,EMDD.Notes,EMDD.USE,ACA,NCCHC,JCHCO,DSM.Assigned.,DSM.Assignment.Type,FY18.Calendar.Days.in.Use,FY18.Possible.Days,FY18...of.Days.in.Use,FY18.Total.Mandays,FY17.Calendar.Days.in.Use,FY17...of.Days.in.Use,FY17.Total.Mandays,FY17.Max.Pop.Count,capacity
ADLNTCA,10250 RANCHO ROAD ADELANTO CA,10,-117.441037,34.55917801,ADELANTO ICE PROCESSING CENTER,ADELANTO,SAN BERNARDINO,CA,92301,9,LOS,LOS,IGSA,DIGSA,Yes,Female/Male,"1,940",87%,NA,11/4/17,8/29/11,2011,"1,767",721,970,874,840,626,846,237,942,878,616,93,104,"1,109",582,YES,GEO,GEO,CITY,6/1/11,5/31/21,2021,1455,b)(4),Talton Full Service,AUTHORIZED,DMCP,Over 72,PBNDS 2011,PREA,No,Meets Standard,Meets Standard,10/6/17,Meets Standard,,No,YES,YES,NO,Yes,PERMANENT,35,400,9%,"676,434",372,102%,"625,414","1,918",1940
AFRC,1300 W. RICHEY AVENUE ARTESIA NM,48,-104.41292,32.85731999,ARTESIA FAMILY RESIDENTIAL CENTER,ARTESIA,COUNTY,NM,88210,10,ELP,EPC,IGSA,FAMILY,Yes,Female/Male,648,0%,0,12/17/14,6/27/14,2014,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,,,GEO,GEO,6/27/14,NA,#VALUE!,700,b)(4),Pro-bono Platform (Talton),NOT INSPECTED,JFRMU,Over 72,ICE Family Residential Standards,PREA,No,,,,,,No,,,,No,,0,400,0%,0,0,0%,0,0,648
AGAHOLD,108 HERNAN CORTEZ AV HAGATNA GU,11,144.75021,13.47607,AGANA HOLD,HAGATNA,GUAM,GU,96910,9,SFR,AGA,Other,HOLD,Yes,Female/Male,0,,0,11/14/16,3/24/02,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FEDERAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,1,0%,1,1,1
AGC,505 CORNER BELT AND GUN ST. AGUADILLA PR,12,-67.12076236,18.45966487,AGUADILLA,AGUADILLA,AGUADILLA,PR,603,1,MIA,SAJ,Other,HOLD,Yes,Female/Male,65,0%,0,8/5/13,2/7/87,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MVM,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,Meets Standard,,9/10/09,,,No,NO,YES,YES,No,,0,400,0%,0,0,0%,0,0,65
AGMDCCA,1025 S ANAHEIM BLVD ANAHEIM CA,33,-117.909412,33.81987399,ANAHEIM GLOBAL MEDICAL CENTER,ANAHEIM,ORANGE,CA,92805,9,LOS,,Other,HOSPITAL,No,Female/Male,0,,4,11/4/17,7/14/15,2015,4,0,1,0,1,0,1,0,0,1,0,0,0,0,1,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,,,,No,,35,400,9%,640,235,64%,334,4,1
AIRHOPR,LUIS MUNOZ MARIN INTR AIRPORT ISLA VERDE PR,13,-66.00297,18.43851,AIRPORT HOTEL (SAN JUAN),ISLA VERDE,CAROLINA,PR,913,1,MIA,SAJ,Other,Other,Yes,Female/Male,0,,0,4/18/17,10/24/90,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HOTEL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,4,1%,4,1,1
AKCCANC,625 C STREET ANCHORAGE AK,1265,-149.887093,61.21605998,STATE CORRECTIONAL CENTER,ANCHORAGE,ANCHORAGE,AK,99501,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,2/19/08,1/24/91,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
AKCOOKI,1300 E 4TH AVENUE ANCHORAGE AK,322,-149.857527,61.2184,COOK INLET PRETRIAL (ANCHORAGE),ANCHORAGE,ANCHORAGE,AK,99501,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,5/25/17,2/4/91,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,$142.66 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,20,5%,21,2,1
AKFAIRB,1931 EAGAN STREET FAIRBANKS AK,461,-147.759449,64.83351899,FAIRBANKS CORRECTIONAL CENTER,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99701,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,3/15/17,2/24/94,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,$134.90 ,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,8/18/09,,,No,NO,NO,NO,No,,0,400,0%,0,1,0%,1,1,1
AKHIGHL,9101 HESTERBERG ROAD EAGLE RIVER AK,599,-149.580185,61.302005,HILAND MOUNTAIN CORRECTIONAL CENTER,EAGLE RIVER,ANCHORAGE,AK,99577,9,SEA,ANC,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,3/13/14,12/17/92,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,STATE,COUNTY (CORRECTIONS),,1/2/96,NA,#VALUE!,NA,$158.67 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,,,No,Acceptable,Acceptable,5/3/11,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
AKKETCH,1201 SCHOENBAR ROAD KETCHIKAN AK,683,-131.64892,55.34829999,KETCHIKAN REGIONAL CC,KETCHIKAN,PRINCE OF WALES -OUTER KETCHIKAN,AK,99901,9,SEA,ANC,IGSA,IGSA,Yes,Male,0,,0,1/7/16,7/27/91,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,b)(4),,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
AKLEMON,2000 LEMON CREEK ROAD JUNEAU AK,731,-134.48443,58.36258002,LEMON CREEK,JUNEAU,JUNEAU,AK,99801,9,SEA,ANC,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,12/4/16,10/17/91,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,STATE,COUNTY (CORRECTIONS),,1/2/96,NA,#VALUE!,NA,$158.67 ,,NOT INSPECTED,DMCP,Under 72,,,No,Acceptable,At-Risk,6/2/11,,,No,NO,NO,NO,No,,0,400,0%,0,1,0%,1,1,1
AKMATSU,339 E. DOGWOOD PALMER AK,807,-149.108715,61.60216502,MAT-SU PRETRIAL,PALMER,MATANUSKA SUSITNA,AK,99645,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,10/28/08,11/27/92,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,$134.90 ,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,8/11/09,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
AKMCYOU,2600 PROVIDENCE DR ANCHORAGE AK,815,-149.830552,61.18675601,MCLAUGHLIN YOUTH CENTER,ANCHORAGE,ANCHORAGE,AK,99508,9,SEA,ANC,IGSA,JUVENILE,Yes,Female/Male,0,,0,5/5/10,5/4/98,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,OTHER,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
AKPALMC,MILE 58 GLENN HIGHWAY PALMER AK,990,-148.96702,61.69359,PALMER CORRECTIONAL CENTER,PALMER,PALMER,AK,99645,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,6/8/14,9/11/94,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,b)(4),,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
AKPSYNJ,SULLIVAN WAY W. TRENTON NJ,38,-74.81182805,40.2483652,ANNE KLEIN PSYCHIATRIC INSTITUTE,W. TRENTON,MERCER,NJ,8628,3,NEW,VRK,Other,HOSPITAL,No,Female/Male,0,,0,4/19/07,5/20/05,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,HOSPITAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
AKWILCC,#10 CHUGACH AVENUE KENAI AK,1438,-151.2997782,60.58739145,WILDWOOD STATE CORRECTIONAL CENTER,KENAI,KENAI PENINSULA,AK,99611,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,8/4/14,1/31/94,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,$134.90 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
AKWILPT,5 CHUGACH AVENUE KENAI AK,1437,-151.2998944,60.58732498,WILDWOOD PRETRIAL FACILITY,KENAI,KENAI PENINSULA,AK,99611,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,1/21/14,1/28/09,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
ALAMCNC,109 SOUTH MAPLE STREET GRAHAM NC,14,-79.40343703,36.06841101,ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,ALAMANCE,NC,27253,4,ATL,RDU,IGSA,IGSA,Yes,Female/Male,0,,0,9/18/12,5/15/06,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,5/14/07,NA,#VALUE!,NA,$66.95 ,,NOT INSPECTED,DMCP,Over 72,,Standard 2.11,No,Acceptable,Acceptable,7/12/12,,2008 DEFICIENT,Yes,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
ALBANWY,ALBANY COUNTY COURTHOUSE LARAMIE WY,16,-105.59028,41.3113,ALBANY COUNTY JAIL,LARAMIE,ALBANY,WY,82070,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,1/29/08,2/6/92,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
ALBCONY,840 ALBANY SHAKER ROAD ALBANY NY,17,-73.81591101,42.75175302,ALBANY COUNTY JAIL,ALBANY,KINGS,NY,12211,2,BUF,ALB,USMS IGA,USMS IGA,Yes,Female/Male,14,123%,18,11/4/17,7/13/88,1988,20,12,6,24,5,27,3,6,3,1,2,5,10,10,7,YES,COUNTY,COUNTY (SHERIFF),COUNTY,7/1/09,NA,#VALUE!,NA,$119.30 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,FPBDS,,No,Pending,Acceptable,9/28/17,Pending,,Yes,NO,YES,NO,No,NONE,35,400,9%,"6,914",372,102%,"10,390",60,14
ALBEMVA,UNAVAILABLE CHARLOTTESVILLE VA,19,-78.47756,38.03213,ALBEMARLE-CHARLOTTSVILLE,CHARLOTTESVILLE,ABERMARLE,VA,22901,4,WAS,HBG,IGSA,IGSA,Yes,Female/Male,0,,0,8/13/14,12/11/13,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,b)(4),,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
ALBHOLD,1086 TROY-SCHENECTADY RD LATHAM NY,18,-73.81222599,42.76529,ALBANY HOLD ROOM,LATHAM,ALBANY,NY,12110,2,BUF,,Other,HOLD,Yes,Female/Male,0,,0,6/14/17,5/25/16,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,,,,No,,0,400,0%,0,1,0%,1,1,1
ALEXAVA,2003 MILL ROAD ALEXANDRIA VA,21,-77.06462101,38.797908,ALEXANDRIA CITY JAIL,ALEXANDRIA,ALEXANDRIA CITY,VA,22314,4,WAS,WAS,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,10/31/17,11/28/89,1989,4,1,1,1,1,0,1,0,0,0,1,0,0,1,0,YES,CONMED,CITY,CITY,4/7/82,5/21/22,2022,NA,$113.50 ,,AUTHORIZED,DMCP,Under 72,NDS,,No,Acceptable,,9/27/17,Acceptable,,No,YES,YES,NO,No,,17,400,4%,469,213,58%,614,13,1
ALHAMCA,211 S. FIRST ST. ALHAMBRA CA,24,-118.12649,34.09205798,ALHAMBRA CITY JAIL,ALHAMBRA,LOS ANGELES,CA,91801,9,LOS,LOS,USMS IGA,USMS IGA,Yes,Female,0,,0,3/8/16,7/9/08,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,,CITY,CITY,3/31/98,NA,#VALUE!,NA,$85.00 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Under 72,FPBDS,,No,Acceptable,,6/26/15,,,No,NO,NO,NO,No,NONE,0,400,0%,0,0,0%,0,0,1
ALLEGNY,4884 STATE ROUTE 19 BELMONT NY,25,-78.01650296,42.21280302,ALLEGANY COUNTY JAIL,BELMONT,ALLEGANY,NY,14813,2,BUF,BUF,IGSA,IGSA,Yes,Female,0,,7,11/4/17,11/5/87,1987,9,6,3,8,4,9,3,3,5,0,0,3,6,6,2,YES,COUNTY,COUNTY (SHERIFF),COUNTY,8/17/07,NA,#VALUE!,NA,$95.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,,No,Acceptable,Acceptable,2/9/17,Acceptable,,No,NO,NO,NO,No,NONE,35,400,9%,"3,211",372,102%,"4,128",19,1
ALLEGPA,950 SECOND AVENUE PITTSBURGH PA,26,-79.99360298,40.434531,ALLEGHENY COUNTY JAIL,PITTSBURGH,ALLEGHENY,PA,15219,3,PHI,PIT,USMS IGA,USMS IGA,Yes,Female/Male,5,0%,0,9/30/14,4/2/87,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,ALLEGHENY CORRECTIONAL HEALTH,COUNTY (CORRECTIONS),COUNTY,12/31/01,NA,#VALUE!,NA,$73.27 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,NDS,,No,Acceptable,,9/29/14,,2008 DEFICIENT,Yes,YES,YES,NO,No,NONE,0,400,0%,0,0,0%,0,0,5
ALMHOLD,1921 STATE STREET ALAMOSA CO,15,-105.8659,37.45132998,ALAMOSA HOLDROOM,ALAMOSA,ALAMOSA,CO,81101,10,DEN,DEN,Other,HOLD,Yes,Female/Male,0,,0,10/26/12,2/26/11,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
AMTHOLD,8601 E. AMARILLO BLVD AMARILLO TX,32,-101.740741,35.22507299,AMARILLO HOLD ROOM,AMARILLO,POTTER,TX,79801,5,DAL,AMT,Other,HOLD,Yes,Female/Male,0,,0,5/7/17,3/21/13,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,1,0%,5,5,1
ANCHOAK,1400 E. 4TH AVE ANCHORAGE AK,34,-149.855461,61.21861202,ANCHORAGE CORRECTIONAL COMPLEX,ANCHORAGE,ANCHORAGE,AK,99501,9,SEA,ANC,USMS IGA,USMS IGA,Yes,Female/Male,0,,1,11/4/17,7/10/88,1988,2,0,1,0,0,0,0,0,0,1,0,0,0,1,1,YES,STATE,COUNTY (CORRECTIONS),COUNTY,1/2/96,NA,#VALUE!,NA,$141.17 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,Minimum Service Standards,,No,Acceptable,,9/8/17,Acceptable,,No,NO,NO,NO,No,NONE,26,400,7%,434,156,43%,204,4,1
ANDROME,2 TURNER STREET AUBURN ME,35,-70.226711,44.09780599,ANDROSCOGGIN COUNTY JAIL,AUBURN,ANDROSCOGGIN,ME,4210,1,BOS,POM,IGSA,IGSA,Yes,Female/Male,0,,0,1/22/06,8/23/93,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
ANGELTX,C.S.C. LUFKIN C.F.113 N. SECOND ST. LUFKIN TX,36,-94.72788503,31.33961201,ANGELINA COUNTY JAIL,LUFKIN,ANGELINA,TX,75901,5,HOU,HOU,IGSA,IGSA,Yes,Female/Male,0,,0,11/7/04,3/31/04,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
ANJUVMN,7555 4TH AVENUE LINO LAKES MN,39,-93.12363604,45.18086598,ANOKA COUNTY JUVENILE,LINO LAKES,ANOKA,MN,55014,8,SPM,SPM,IGSA,JUVENILE,Yes,Female/Male,0,,0,7/21/10,5/28/98,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$199.00 ,,NOT INSPECTED,JFRMU,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0,400,0%,0,0,0%,0,0,1
APACHAZ,370 SOUTH WASHINGTON ST ST JOHNS AZ,40,-109.3644393,34.50177148,APACHE COUNTY JAIL,ST JOHNS,APACHE,AZ,85936,9,PHO,PHO,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,9/3/13,4/25/93,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,COUNTY,COUNTY (SHERIFF),COUNTY,1/31/01,NA,#VALUE!,NA,$63.00 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Under 72,NDS,,No,Acceptable,,9/1/15,,2007 and 2008 DEFICIENT,Yes,NO,NO,NO,No,NONE,0,400,0%,0,0,0%,0,0,1
APIBHCA,7050 PARKWAY DR LA MESA CA,31,-117.044143,32.77458298,ALVARADO PARKWAY INSTITUTE,LA MESA,SAN DIEGO,CA,91942,9,SND,SND,Other,HOSPITAL,No,Female/Male,0,,4,11/4/17,2/27/15,2015,6,0,3,1,2,0,2,0,0,3,0,0,0,3,1,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,,,,No,,35,400,9%,"1,360",366,100%,"1,346",13,1
