DETLOC,Name,Address,City,County,State,Zip,Circuit,AOR,Docket,Type,Type Detailed,ICE Funded,Female Level A,Female Level B,Female Level C,Female Level D,Male Level A,Male Level B,Male Level C ,Male Level D ,Female Level A ,Female Level B ,Female Level C ,Female Level D ,Male Level A ,Male Level B ,Male Level C,Male Level D,Female Non-Crim,Female Crim,Male Non-Crim,Male Crim,Female Non-Crim ,Female Crim ,Male Non-Crim ,Male Crim 
ALBCONY,ALBANY COUNTY JAIL,840 ALBANY SHAKER ROAD,ALBANY,KINGS,NY,12211,2,BUF,ALB,USMS IGA,USMS IGA,Yes,6,7,3,1,0,0,0,1,0,0,0,0,0,0,0,0,10,7,0,1,0,0,0,0
ALBANWY,ALBANY COUNTY JAIL,ALBANY COUNTY COURTHOUSE,LARAMIE,ALBANY,WY,82070,10,DEN,DEN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBHOLD,ALBANY HOLD ROOM,1086 TROY-SCHENECTADY RD,LATHAM,ALBANY,NY,12110,2,BUF,,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBEMVA,ALBEMARLE-CHARLOTTSVILLE,UNAVAILABLE,CHARLOTTESVILLE,ABERMARLE,VA,22901,4,WAS,HBG,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABQHOLD,ALBUQUERQUE HOLD ROOM,1720 RANDOLPH ROAD,ALBUQUERQUE,BERNALILLO,NM,87106,10,ELP,ABQ,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEXAVA,ALEXANDRIA CITY JAIL,2003 MILL ROAD,ALEXANDRIA,ALEXANDRIA CITY,VA,22314,4,WAS,WAS,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JENATLA,ALEXANDRIA STAGING FACILITY,1511 ARNOLD DRIVE,ALEXANDRIA,COUNTY,LA,71303,5,NOL,OAK,Other,STAGING,Yes,0,0,0,0,62,59,97,68,0,0,0,0,0,0,0,0,0,0,70,216,0,0,0,0
BHCALCA,ALHAMBRA BHC HOSPITAL,4619 N ROSEMEAD BLVD.,ROSEMEAD,LOS ANGELES,CA,91770,9,LOS,LOS,Other,HOSPITAL,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALHAMCA,ALHAMBRA CITY JAIL,211 S. FIRST ST.,ALHAMBRA,LOS ANGELES,CA,91801,9,LOS,LOS,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLEGNY,ALLEGANY COUNTY JAIL,4884 STATE ROUTE 19,BELMONT,ALLEGANY,NY,14813,2,BUF,BUF,IGSA,IGSA,Yes,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
ALLEGPA,ALLEGHENY COUNTY JAIL,950 SECOND AVENUE,PITTSBURGH,ALLEGHENY,PA,15219,3,PHI,PIT,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPSCLA,ALLEN PARISH PUBLIC SAFETY COMPLEX,7340 HIGHWAY 26 WEST,OBERLIN,ALLEN,LA,70655,5,NOL,OAK,IGSA,IGSA,Yes,0,0,0,0,51,3,1,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0
BOPALM,ALLENWOOD (MEDICAL) FEDERAL CORRECTIONAL INSTITUTE,P.O. BOX 2500,WHITE DEER,UNION,PA,17887,3,PHI,PHI,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPALF,ALLENWOOD LOW SECURITY FEDERAL CORRECTIONAL INSTIT,P.O. BOX 1500,WHITE DEER,UNION,PA,17887,3,PHI,PHI,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPALP,ALLENWOOD US PENITENTIARY,PO BOX 3500,WHITE DEER,UNION,PA,17887,3,PHI,PHI,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APIBHCA,ALVARADO PARKWAY INSTITUTE,7050 PARKWAY DR,LA MESA,SAN DIEGO,CA,91942,9,SND,SND,Other,HOSPITAL,No,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
AMTHOLD,AMARILLO HOLD ROOM,8601 E. AMARILLO BLVD,AMARILLO,POTTER,TX,79801,5,DAL,AMT,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGMDCCA,ANAHEIM GLOBAL MEDICAL CENTER,1025 S ANAHEIM BLVD,ANAHEIM,ORANGE,CA,92805,9,LOS,,Other,HOSPITAL,No,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
ANCHOAK,ANCHORAGE CORRECTIONAL COMPLEX,1400 E. 4TH AVE,ANCHORAGE,ANCHORAGE,AK,99501,9,SEA,ANC,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ANDROME,ANDROSCOGGIN COUNTY JAIL,2 TURNER STREET,AUBURN,ANDROSCOGGIN,ME,4210,1,BOS,POM,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGELTX,ANGELINA COUNTY JAIL,C.S.C. LUFKIN C.F.113 N. SECOND ST.,LUFKIN,ANGELINA,TX,75901,5,HOU,HOU,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAORDMD,ANNE ARUNDEL COUNTY ORDNANCE ROAD CORRECTIONAL CTR,600 E. ORDNANCE ROAD,GLEN BURNIE,ANNE ARUNDEL,MD,21060,4,BAL,,IGSA,IGSA,Yes,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0
AKPSYNJ,ANNE KLEIN PSYCHIATRIC INSTITUTE,SULLIVAN WAY,W. TRENTON,MERCER,NJ,8628,3,NEW,VRK,Other,HOSPITAL,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANJUVMN,ANOKA COUNTY JUVENILE,7555 4TH AVENUE,LINO LAKES,ANOKA,MN,55014,8,SPM,SPM,IGSA,JUVENILE,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APACHAZ,APACHE COUNTY JAIL,370 SOUTH WASHINGTON ST,ST JOHNS,APACHE,AZ,85936,9,PHO,PHO,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAPACO,ARAPAHOE COUNTY JAIL,3686 SOUTH COURT PLACE,LITTLETON,ARAPAHOE,CO,80120,10,DEN,DEN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARCHUCO,ARCHULETA COUNTY JAIL,449 SAN JUAN STREET,PAGOSA SPRINGS,ARCHULETA,CO,81147,10,DEN,DEN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZDCTUC,ARIZONA DEPARTMENT OF CORRECTIONS - TUSCON,10000 SOUTH WILMOT,TUCSON,PIMA,AZ,85734,9,PHO,TUC,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARDCTEX,ARKANSAS DEPARTMENT OF CORRECTIONS (TEXARKANA),"100 NORTH STATELINE AVENUE, BOX 21",TEXARKANA,MILLER,AR,75502,8,NOL,KAN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARLCOVA,ARLINGTON COUNTY JAIL,1435 NORTH COURTHOUSE ROAD,ARLINGTON,ARLINGTON,VA,22201,4,WAS,WAS,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AROOSME,AROOSTOOK COUNTY JAIL,15 BROADWAY,HOULTON,AROOSTOOK,ME,4730,1,BOS,POM,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARRMCCA,ARROWHEAD REGIONAL MED CENTER,400 N. PEPPER AVENUE,COLTON,COUNTY,CA,92324,9,LOS,ADE,Other,HOSPITAL,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFRC,ARTESIA FAMILY RESIDENTIAL CENTER,1300 W. RICHEY AVENUE,ARTESIA,COUNTY,NM,88210,10,ELP,EPC,IGSA,FAMILY,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYARTHC,ARTHUR KILL CORRECTIONAL FACILITY,2911 ARTHUR KILL ROAD,STATEN ISLAND,RICHMOND,NY,10309,2,NYC,VRK,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPASH,ASHLAND FEDERAL CORRECTIONAL INSTITUTE,ST RT 716,ASHLAND,BOYD,KY,41105,6,CHI,CHI,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASCTX,ATASCOSA COUNTY JAIL,C/O JAIL ADMINISTRATOR,JOURDANTON,ATASCOSA,TX,78026,5,SNA,SNA,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATCHIKS,ATCHINSON COUNTY JAIL,518 PARALLEL STREET,ATCHINSON,ATCHISON,KS,66002,10,CHI,KAN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATTHOLD,"ATHENS, TX HOLD ROOM",109 W CORSICANA STREET,ATHENS,HENDERSON,TX,75751,5,DAL,,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLANGA,ATLANTA CITY DETENTION CENTER,254 PEACHTREE STREET SOUTHWEST,ATLANTA,FULTON,GA,30303,11,ATL,ATL,USMS IGA,USMS IGA,Yes,20,7,6,0,106,53,28,20,0,0,0,0,0,0,0,0,26,7,106,101,0,0,0,0
ATLHOLD,ATLANTA DISTRICT HOLD ROOM,"77 FORSYTH ST., SW.",ATLANTA,FULTON,GA,30303,11,ATL,ATL,Other,HOLD,Yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASHRSFL,ATLANTIC SHORES HOSPITAL,4545 NORTH FEDERAL HIGHWAY,FORT LAUDERDALE,BROWARD,FL,33308,11,MIA,KRO,Other,HOSPITAL,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPATW,ATWATER US PENITENTIARY,"#1 FEDERAL WAY, PO BOS 019000",ATWATER,MERCED,CA,95301,9,SFR,SFR,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUDRNMO,AUDRAIN COUNTY JAIL,1100 LITTLEBY ROAD,MEXICO,AUDRAIN,MO,65265,8,CHI,KAN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AURORCO,AURORA CITY JAIL,1500 EAST ALAMEDA DRIVE,AURORA,ARAPAHOE,CO,80017,10,DEN,DEN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUSHOLD,AUSTIN DRO HOLD ROOM,300 EAST 8TH STREET,AUSTIN,TRAVIS,TX,78701,5,SNA,AUS,Other,HOLD,Yes,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
AVPARLA,AVOYELLES PARISH PRISON,675 GOVERNMENT STREET,MARKSVILLE,AVOYELLES,LA,71351,5,NOL,OAK,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVWOMLA,AVOYELLES WOMENS CORRECTIONAL CENTER,675 GOVERNMENT ST,MARKSVILLE,AVOYELLES,LA,71351,5,NOL,OAK,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IWAHOLD,AZ REM OP COORD CENTER (AROCC),UNAVAILABLE,MESA,MARICOPA,AZ,85204,9,PHO,FLO,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACFBAK,BAKER CALIFORNIA CORRECTIONAL FACILITY (CCF),10 LAKEVIEW DRIVE,BAKER,BAKER,CA,92309,9,LOS,SND,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAKERFL,BAKER COUNTY SHERIFF'S OFFICE,1 SHERIFF OFFICE DRIVE,MACCLENNY,BAKER,FL,32063,11,MIA,KRO,IGSA,IGSA,Yes,3,10,14,5,22,72,87,75,0,0,0,0,0,0,0,0,7,25,62,194,0,0,0,0
BKLHOLD,BAKERFIELD HOLD,800 TRUXTUN,BAKERSFIELD,SUMMIT,CA,93301,9,SFR,BKI,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALDWAL,BALDWIN COUNTY CORRECTIONAL CENTER,200 HAND AVE.,BAY MINETTE,BALDWIN,AL,36507,11,NOL,NOL,IGSA,IGSA,Yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BALHOLD,BALTIMORE DD&P,1530 CATON CENTER DRIVE,BALTIMORE,BALTIMORE,MD,21227,4,BAL,BAL,Other,HOLD,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANNOID,BANNOCK COUNTY JAIL,5800 SOUTH 5TH AVE,POCATELLO,BANNOCK,ID,83204,9,SLC,BOI,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARNSMA,BARNSTABLE COUNTY,"ROUTE 6 COURTHOUSE COMPLEX, BOX 397",BARNSTABLE,BARNSTABLE,MA,2630,1,BOS,BOS,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARRECA,BARRETT HONOR CAMP,21077 LYONS VALLEY ROAD,ALPINE,PANOLA,CA,91901,9,SND,SND,IGSA,JUVENILE,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASCOTX,BASTROP COUNTY JAIL,C/O JAIL ADMINISTRATOR,BASTROP,BASTROP,TX,78602,5,SNA,SNA,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPBAS,BASTROP FEDERAL CORRECTIONAL INSTITUTE,P.O. BOX 730,BASTROP,BASTROP,TX,78602,5,SNA,SNA,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAYCOFL,BAY COUNTY,5600 NEHI ROAD,PANAMA CITY,BAY,FL,32404,11,MIA,ORL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAYAMPR,BAYAMON HOSPITAL,100 LAUREL AVENUE,BAYAMON,SANTA JUANITA,PR,956,1,MIA,,Other,HOSPITAL,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEACOSD,BEADLE COUNTY,BOX 42,HURON,BEADLE,SD,57350,8,SPM,SPM,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPBMP,BEAUMONT FEDERAL,"4550 HEBERT RD., PO BOX 26035",BEAUMONT,JEFFERSON,TX,77720,5,HOU,HOU,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPBMA,BEAUMONT FEDERAL CORRECTIONAL INSTITUTE,P.O. BOX 26015,BEAUMONT,JEFFERSON,TX,77720,5,HOU,HOU,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPBML,BEAUMONT LOW SECURITY FEDERAL CORRECTIONAL CENTER,"4550 HEBERT RD., PO BOX 26025",BEAUMONT,JEFFERSON,TX,77720,5,HOU,HOU,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPBMM,BEAUMONT MEDIUM SECURITY FEDERAL CORRECTIONAL CENT,"4550 HEBERT RD., PO BOX 26045",BEAUMONT,JEFFERSON,TX,77720,5,HOU,HOU,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEAURLA,BEAUREGARD PARISH JAIL,412 MAYEAUX DRIVE,DE RIDDER,BEAUREGARD,LA,70634,5,NOL,NOL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEAVRPA,BEAVER COUNTY JAIL,6000 WOODLAWN BOULEVARD,ALIQUIPPA,BEAVER,PA,15001,3,PHI,PIT,USMS IGA,USMS IGA,Yes,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0
BVRHDMT,BEAVERHEAD COUNTY DETENTION CENTER,2 SOUTH PACIFIC,DILLON,DENVER,MT,59725,9,SLC,HEL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOPBEC,BECKLEY  FEDERAL CORRECTIONAL INSTITUTE,P.O. BOX 1280,BEAVER,RALEIGH,WV,25813,4,PHI,PHI,BOP,BOP,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEDFOPA,BEDFORD COUNTY JAIL,204 THOMAS STREET,BEDFORD,BEDFORD,PA,15522,3,PHI,PIT,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEDFOOH,BEDFORD HEIGHTS CITY JAIL,5661 PERKINS ROAD,BEDFORD HTS,CUYAHOGA,OH,44146,6,DET,CLE,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEDCITX,BEDFORD MUNICIPAL DETENTION CENTER,2121 L DON DODSON DRIVE,BEDFORD,TARRANT,TX,76021,5,DAL,DAL,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELKNNH,BELKNAP COUNTY JAIL,76 COUNTY DR,LACONIA,BELKNAP,NH,3246,1,BOS,BOS,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELCOTX,BELL COUNTY JAIL,111 W. CENTRAL,BELTON,BELL,TX,76513,5,SNA,SNA,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELJUTX,BELL COUNTY JUVENILE,4800 EAST RANCIER,KILLEEN,BELL,TX,76543,5,SNA,SNA,IGSA,JUVENILE,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELPDMI,BELLEVILLE POLICE DEPARTMENT (MICHIGAN),6 MAIN ST.,BELLEVILLE,WAYNE,MI,48111,6,DET,DET,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEHOSNY,BELLEVUE HOSPITAL,462 1ST AVENUE,NEW YORK,NEW YORK,NY,10016,2,NYC,NYC,Other,HOSPITAL,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLHHOLD,BELLINGHAM BPS ERO HOLDROOM,1431 SUNSET AVE,FERNDALE,WHATCOM,WA,98248,9,SEA,,Other,HOLD,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BPHOSOH,BELLMONT PINES HOSPITAL,615 CHURCH HILL-HUBBARD ROAD,YOUNGSTOWN,MAHONING,OH,44505,6,DET,CLE,Other,HOSPITAL,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTCCO,BENT COUNTY JAIL,11100 COUNTY RD GG 75,LAS ANIMAS,BENT,CO,81054,10,DEN,DEN,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTOAR,BENTON COUNTY DETENTION CENTER,1300 SW 14TH STREET,BENTONVILLE,BENTON,AR,72712,8,NOL,NOL,USMS IGA,USMS IGA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTOIA,BENTON COUNTY JAIL,113 E 3RD ST,VINTON,BENTON,IA,52349,8,SPM,OMA,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTOMN,BENTON COUNTY JAIL,581 HIGHWAY 23 NE,FOLEY,BENTON,MN,56329,8,SPM,SPM,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENTOWA,BENTON COUNTY JAIL,7320 W. QUINAULT,KENNEWICK,BENTON,WA,99336,9,SEA,RIC,IGSA,IGSA,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BERGENJ,BERGEN COUNTY JAIL,160 SOUTH RIVER STREET,HACKENSACK,BERGEN,NJ,7601,3,NYC,VRK,USMS IGA,USMS IGA,Yes,14,6,0,0,106,77,91,84,0,0,0,0,0,0,0,0,10,10,118,240,0,0,0,0
BEJUVPA,BERKS COUNTY,1261 COUNTY WELFARE ROAD,LEESPORT,BERKS,PA,19533,3,PHI,PHI,IGSA,JUVENILE,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
