DETLOC,fullA.x,ObjectId,x,y,Name,City,County,State,Zip,Circuit,AOR,Docket,Type,Type.Detailed,ICE.Funded,Male.Female,Capacity,Current.FY.Utilization,Population.Count,Date.of.Last.Use,Date.of.First.Use,FirstYear,FY18.Max.Population.Count,Mandatory,Non.Mandatory,Medical.Provider.Onsite.,Provider.Type,Facility.Operator,Facility.Owner,Best.Known.Contract.Initiation.Date,Best.Known.Contract.Expiration.Date,YearExpiration,Guaranteed.Minimum,Per.Diem.Rate.Detailed,ICE.Telephone.Services,Authorization.Status,Authorizing.Authority,Over.Under.72,Contractually.Obligated.Inspection.Standard,PREA.Standard.2.11.Status,Last.Inspection.Pre.Occ.,Last.Inspection.Rating...Final,Last.Inspection.Rating...Recommended,Last.Inspection.Date,CY17.Rating,EMDD.Notes,EMDD.USE,ACA,NCCHC,JCHCO,DSM.Assigned.,DSM.Assignment.Type,FY18.Calendar.Days.in.Use
AIRHOPR,LUIS MUNOZ MARIN INTR AIRPORT ISLA VERDE PR,13,-66.00297,18.43851,AIRPORT HOTEL (SAN JUAN),ISLA VERDE,CAROLINA,PR,913,1,MIA,SAJ,Other,Other,Yes,Female/Male,0,,0,4/18/17,10/24/90,1990,0,0,0,,,HOTEL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0
AKCCANC,625 C STREET ANCHORAGE AK,1265,-149.887093,61.21605998,STATE CORRECTIONAL CENTER,ANCHORAGE,ANCHORAGE,AK,99501,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,2/19/08,1/24/91,1991,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
AKCOOKI,1300 E 4TH AVENUE ANCHORAGE AK,322,-149.857527,61.2184,COOK INLET PRETRIAL (ANCHORAGE),ANCHORAGE,ANCHORAGE,AK,99501,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,5/25/17,2/4/91,1991,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,$142.66 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
AKFAIRB,1931 EAGAN STREET FAIRBANKS AK,461,-147.759449,64.83351899,FAIRBANKS CORRECTIONAL CENTER,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99701,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,3/15/17,2/24/94,1994,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,$134.90 ,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,8/18/09,,,No,NO,NO,NO,No,,0
AKHIGHL,9101 HESTERBERG ROAD EAGLE RIVER AK,599,-149.580185,61.302005,HILAND MOUNTAIN CORRECTIONAL CENTER,EAGLE RIVER,ANCHORAGE,AK,99577,9,SEA,ANC,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,3/13/14,12/17/92,1992,0,0,0,YES,STATE,COUNTY (CORRECTIONS),,1/2/96,NA,#VALUE!,NA,$158.67 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,,,No,Acceptable,Acceptable,5/3/11,,,No,NO,NO,NO,No,,0
AKKETCH,1201 SCHOENBAR ROAD KETCHIKAN AK,683,-131.64892,55.34829999,KETCHIKAN REGIONAL CC,KETCHIKAN,PRINCE OF WALES -OUTER KETCHIKAN,AK,99901,9,SEA,ANC,IGSA,IGSA,Yes,Male,0,,0,1/7/16,7/27/91,1991,0,0,0,,,,,NA,NA,#VALUE!,NA,b)(4),,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
AKLEMON,2000 LEMON CREEK ROAD JUNEAU AK,731,-134.48443,58.36258002,LEMON CREEK,JUNEAU,JUNEAU,AK,99801,9,SEA,ANC,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,12/4/16,10/17/91,1991,0,0,0,YES,STATE,COUNTY (CORRECTIONS),,1/2/96,NA,#VALUE!,NA,$158.67 ,,NOT INSPECTED,DMCP,Under 72,,,No,Acceptable,At-Risk,6/2/11,,,No,NO,NO,NO,No,,0
AKMATSU,339 E. DOGWOOD PALMER AK,807,-149.108715,61.60216502,MAT-SU PRETRIAL,PALMER,MATANUSKA SUSITNA,AK,99645,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,10/28/08,11/27/92,1992,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,$134.90 ,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,8/11/09,,,No,NO,NO,NO,No,,0
AKMCYOU,2600 PROVIDENCE DR ANCHORAGE AK,815,-149.830552,61.18675601,MCLAUGHLIN YOUTH CENTER,ANCHORAGE,ANCHORAGE,AK,99508,9,SEA,ANC,IGSA,JUVENILE,Yes,Female/Male,0,,0,5/5/10,5/4/98,1998,0,0,0,,,OTHER,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,JFRMU,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
AKPALMC,MILE 58 GLENN HIGHWAY PALMER AK,990,-148.96702,61.69359,PALMER CORRECTIONAL CENTER,PALMER,PALMER,AK,99645,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,6/8/14,9/11/94,1994,0,0,0,,,,,NA,NA,#VALUE!,NA,b)(4),,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
AKPSYNJ,SULLIVAN WAY W. TRENTON NJ,38,-74.81182805,40.2483652,ANNE KLEIN PSYCHIATRIC INSTITUTE,W. TRENTON,MERCER,NJ,8628,3,NEW,VRK,Other,HOSPITAL,No,Female/Male,0,,0,4/19/07,5/20/05,2005,0,0,0,,,HOSPITAL,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0
AKWILCC,#10 CHUGACH AVENUE KENAI AK,1438,-151.2997782,60.58739145,WILDWOOD STATE CORRECTIONAL CENTER,KENAI,KENAI PENINSULA,AK,99611,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,8/4/14,1/31/94,1994,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,$134.90 ,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
AKWILPT,5 CHUGACH AVENUE KENAI AK,1437,-151.2998944,60.58732498,WILDWOOD PRETRIAL FACILITY,KENAI,KENAI PENINSULA,AK,99611,9,SEA,ANC,IGSA,IGSA,Yes,Female/Male,0,,0,1/21/14,1/28/09,2009,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
ALAMCNC,109 SOUTH MAPLE STREET GRAHAM NC,14,-79.40343703,36.06841101,ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,ALAMANCE,NC,27253,4,ATL,RDU,IGSA,IGSA,Yes,Female/Male,0,,0,9/18/12,5/15/06,2006,0,0,0,,,COUNTY,,5/14/07,NA,#VALUE!,NA,$66.95 ,,NOT INSPECTED,DMCP,Over 72,,Standard 2.11,No,Acceptable,Acceptable,7/12/12,,2008 DEFICIENT,Yes,NO,NO,NO,No,,0
ALBANWY,ALBANY COUNTY COURTHOUSE LARAMIE WY,16,-105.59028,41.3113,ALBANY COUNTY JAIL,LARAMIE,ALBANY,WY,82070,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,1/29/08,2/6/92,1992,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
ALBCONY,840 ALBANY SHAKER ROAD ALBANY NY,17,-73.81591101,42.75175302,ALBANY COUNTY JAIL,ALBANY,KINGS,NY,12211,2,BUF,ALB,USMS IGA,USMS IGA,Yes,Female/Male,14,123%,18,11/4/17,7/13/88,1988,20,10,7,YES,COUNTY,COUNTY (SHERIFF),COUNTY,7/1/09,NA,#VALUE!,NA,$119.30 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,FPBDS,,No,Pending,Acceptable,9/28/17,Pending,,Yes,NO,YES,NO,No,NONE,35
ALBEMVA,UNAVAILABLE CHARLOTTESVILLE VA,19,-78.47756,38.03213,ALBEMARLE-CHARLOTTSVILLE,CHARLOTTESVILLE,ABERMARLE,VA,22901,4,WAS,HBG,IGSA,IGSA,Yes,Female/Male,0,,0,8/13/14,12/11/13,2013,0,0,0,,,,,NA,NA,#VALUE!,NA,b)(4),,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
ALBHOLD,1086 TROY-SCHENECTADY RD LATHAM NY,18,-73.81222599,42.76529,ALBANY HOLD ROOM,LATHAM,ALBANY,NY,12110,2,BUF,,Other,HOLD,Yes,Female/Male,0,,0,6/14/17,5/25/16,2016,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,,,,No,,0
ALEXAVA,2003 MILL ROAD ALEXANDRIA VA,21,-77.06462101,38.797908,ALEXANDRIA CITY JAIL,ALEXANDRIA,ALEXANDRIA CITY,VA,22314,4,WAS,WAS,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,10/31/17,11/28/89,1989,4,1,0,YES,CONMED,CITY,CITY,4/7/82,5/21/22,2022,NA,$113.50 ,,AUTHORIZED,DMCP,Under 72,NDS,,No,Acceptable,,9/27/17,Acceptable,,No,YES,YES,NO,No,,17
ALHAMCA,211 S. FIRST ST. ALHAMBRA CA,24,-118.12649,34.09205798,ALHAMBRA CITY JAIL,ALHAMBRA,LOS ANGELES,CA,91801,9,LOS,LOS,USMS IGA,USMS IGA,Yes,Female,0,,0,3/8/16,7/9/08,2008,0,0,0,NO,,CITY,CITY,3/31/98,NA,#VALUE!,NA,$85.00 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Under 72,FPBDS,,No,Acceptable,,6/26/15,,,No,NO,NO,NO,No,NONE,0
ALLEGNY,4884 STATE ROUTE 19 BELMONT NY,25,-78.01650296,42.21280302,ALLEGANY COUNTY JAIL,BELMONT,ALLEGANY,NY,14813,2,BUF,BUF,IGSA,IGSA,Yes,Female,0,,7,11/4/17,11/5/87,1987,9,6,2,YES,COUNTY,COUNTY (SHERIFF),COUNTY,8/17/07,NA,#VALUE!,NA,$95.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,NDS,,No,Acceptable,Acceptable,2/9/17,Acceptable,,No,NO,NO,NO,No,NONE,35
ALLEGPA,950 SECOND AVENUE PITTSBURGH PA,26,-79.99360298,40.434531,ALLEGHENY COUNTY JAIL,PITTSBURGH,ALLEGHENY,PA,15219,3,PHI,PIT,USMS IGA,USMS IGA,Yes,Female/Male,5,0%,0,9/30/14,4/2/87,1987,0,0,0,YES,ALLEGHENY CORRECTIONAL HEALTH,COUNTY (CORRECTIONS),COUNTY,12/31/01,NA,#VALUE!,NA,$73.27 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Over 72,NDS,,No,Acceptable,,9/29/14,,2008 DEFICIENT,Yes,YES,YES,NO,No,NONE,0
ALMHOLD,1921 STATE STREET ALAMOSA CO,15,-105.8659,37.45132998,ALAMOSA HOLDROOM,ALAMOSA,ALAMOSA,CO,81101,10,DEN,DEN,Other,HOLD,Yes,Female/Male,0,,0,10/26/12,2/26/11,2011,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
AMTHOLD,8601 E. AMARILLO BLVD AMARILLO TX,32,-101.740741,35.22507299,AMARILLO HOLD ROOM,AMARILLO,POTTER,TX,79801,5,DAL,AMT,Other,HOLD,Yes,Female/Male,0,,0,5/7/17,3/21/13,2013,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
ANCHOAK,1400 E. 4TH AVE ANCHORAGE AK,34,-149.855461,61.21861202,ANCHORAGE CORRECTIONAL COMPLEX,ANCHORAGE,ANCHORAGE,AK,99501,9,SEA,ANC,USMS IGA,USMS IGA,Yes,Female/Male,0,,1,11/4/17,7/10/88,1988,2,1,1,YES,STATE,COUNTY (CORRECTIONS),COUNTY,1/2/96,NA,#VALUE!,NA,$141.17 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,Minimum Service Standards,,No,Acceptable,,9/8/17,Acceptable,,No,NO,NO,NO,No,NONE,26
ANDROME,2 TURNER STREET AUBURN ME,35,-70.226711,44.09780599,ANDROSCOGGIN COUNTY JAIL,AUBURN,ANDROSCOGGIN,ME,4210,1,BOS,POM,IGSA,IGSA,Yes,Female/Male,0,,0,1/22/06,8/23/93,1993,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
ANGELTX,C.S.C. LUFKIN C.F.113 N. SECOND ST. LUFKIN TX,36,-94.72788503,31.33961201,ANGELINA COUNTY JAIL,LUFKIN,ANGELINA,TX,75901,5,HOU,HOU,IGSA,IGSA,Yes,Female/Male,0,,0,11/7/04,3/31/04,2004,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,Over 72,,,No,,,,,,No,NO,NO,NO,No,,0
ANJUVMN,7555 4TH AVENUE LINO LAKES MN,39,-93.12363604,45.18086598,ANOKA COUNTY JUVENILE,LINO LAKES,ANOKA,MN,55014,8,SPM,SPM,IGSA,JUVENILE,Yes,Female/Male,0,,0,7/21/10,5/28/98,1998,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,$199.00 ,,NOT INSPECTED,JFRMU,Under 72,,,No,,,,,,No,NO,NO,NO,No,,0
APACHAZ,370 SOUTH WASHINGTON ST ST JOHNS AZ,40,-109.3644393,34.50177148,APACHE COUNTY JAIL,ST JOHNS,APACHE,AZ,85936,9,PHO,PHO,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,9/3/13,4/25/93,1993,0,0,0,YES,COUNTY,COUNTY (SHERIFF),COUNTY,1/31/01,NA,#VALUE!,NA,$63.00 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Under 72,NDS,,No,Acceptable,,9/1/15,,2007 and 2008 DEFICIENT,Yes,NO,NO,NO,No,NONE,0
APIBHCA,7050 PARKWAY DR LA MESA CA,31,-117.044143,32.77458298,ALVARADO PARKWAY INSTITUTE,LA MESA,SAN DIEGO,CA,91942,9,SND,SND,Other,HOSPITAL,No,Female/Male,0,,4,11/4/17,2/27/15,2015,6,3,1,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,,,,No,,35
APPSCLA,7340 HIGHWAY 26 WEST OBERLIN LA,27,-92.74169308,30.61131511,ALLEN PARISH PUBLIC SAFETY COMPLEX,OBERLIN,ALLEN,LA,70655,5,NOL,OAK,IGSA,IGSA,Yes,Male,0,,55,11/4/17,5/18/16,2016,56,40,12,YES,COUNTY,COUNTY,COUNTY,8/1/15,7/31/25,2025,NA,$51.00 ,,AUTHORIZED,DMCP,Over 72,PBNDS 2011,PREA,No,Meets Standard,Meets Standard,5/18/17,Meets Standard,,Yes,NO,NO,NO,No,,35
ARAPACO,3686 SOUTH COURT PLACE LITTLETON CO,41,-105.0127593,39.61427879,ARAPAHOE COUNTY JAIL,LITTLETON,ARAPAHOE,CO,80120,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,5/26/08,11/24/90,1990,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
ARCHUCO,449 SAN JUAN STREET PAGOSA SPRINGS CO,42,-107.01187,37.26610002,ARCHULETA COUNTY JAIL,PAGOSA SPRINGS,ARCHULETA,CO,81147,10,DEN,DEN,IGSA,IGSA,Yes,Female/Male,0,,0,9/23/07,9/7/07,2007,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
ARDCTEX,100 NORTH STATELINE AVENUE BOX 21 TEXARKANA AR,44,-94.04301445,33.42166916,ARKANSAS DEPARTMENT OF CORRECTIONS (TEXARKANA),TEXARKANA,MILLER,AR,75502,8,NOL,KAN,IGSA,IGSA,Yes,Female/Male,0,,0,5/24/04,11/14/01,2001,0,0,0,,,COUNTY (CORRECTIONS),,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
ARLCOVA,1435 NORTH COURTHOUSE ROAD ARLINGTON VA,45,-77.08329497,38.89036001,ARLINGTON COUNTY JAIL,ARLINGTON,ARLINGTON,VA,22201,4,WAS,WAS,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,1/4/11,9/11/91,1991,0,0,0,YES,CONMED,COUNTY (SHERIFF),COUNTY,1/4/02,NA,#VALUE!,NA,$91.62 ,Pro-bono Platform (Talton),NOT INSPECTED,DMCP,Under 72,,,No,Acceptable,Deficient,10/5/11,,,Yes,YES,NO,NO,No,,0
AROOSME,15 BROADWAY HOULTON ME,46,-67.83830001,46.12460001,AROOSTOOK COUNTY JAIL,HOULTON,AROOSTOOK,ME,4730,1,BOS,POM,USMS IGA,USMS IGA,Yes,Female/Male,0,,0,1/23/12,9/25/95,1995,0,0,0,,,COUNTY,,9/11/90,NA,#VALUE!,NA,$65.00 ,,NOT INSPECTED,DMCP,Under 72,,,No,Superior,Acceptable,7/7/10,,,No,NO,NO,NO,No,,0
ARRMCCA,400 N. PEPPER AVENUE COLTON CA,47,-117.3527716,34.0719364,ARROWHEAD REGIONAL MED CENTER,COLTON,COUNTY,CA,92324,9,LOS,ADE,Other,HOSPITAL,No,Female/Male,0,,0,10/26/17,6/11/14,2014,1,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,,,,No,,20
ASHRSFL,4545 NORTH FEDERAL HIGHWAY FORT LAUDERDALE FL,56,-80.118708,26.18466399,ATLANTIC SHORES HOSPITAL,FORT LAUDERDALE,BROWARD,FL,33308,11,MIA,KRO,Other,HOSPITAL,No,Female/Male,0,,0,5/8/17,12/1/10,2010,0,0,0,,,,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,OTHER,,,,No,,,,,,No,NO,NO,NO,No,,0
ATASCTX,C/O JAIL ADMINISTRATOR JOURDANTON TX,51,-98.54561,28.91879,ATASCOSA COUNTY JAIL,JOURDANTON,ATASCOSA,TX,78026,5,SNA,SNA,IGSA,IGSA,Yes,Female/Male,0,,0,2/1/07,2/21/97,1997,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
ATCHIKS,518 PARALLEL STREET ATCHINSON KS,52,-95.11934913,39.56614788,ATCHINSON COUNTY JAIL,ATCHINSON,ATCHISON,KS,66002,10,CHI,KAN,IGSA,IGSA,Yes,Female/Male,0,,0,7/28/04,9/17/00,2000,0,0,0,,,COUNTY,,NA,NA,#VALUE!,NA,,,NOT INSPECTED,DMCP,,,,No,,,,,,No,NO,NO,NO,No,,0
ATLANGA,254 PEACHTREE STREET SOUTHWEST ATLANTA GA,54,-84.39539002,33.74729002,ATLANTA CITY DETENTION CENTER,ATLANTA,FULTON,GA,30303,11,ATL,ATL,USMS IGA,USMS IGA,Yes,Female/Male,200,139%,240,11/4/17,9/17/96,1996,356,157,120,YES,INMATE PHYSICIAN SERVICES,CITY,CITY,4/26/02,NA,#VALUE!,NA,$78.00 ,Pro-bono Platform (Talton),AUTHORIZED,DMCP,Over 72,FPBDS,,No,Acceptable,Acceptable,6/29/17,Acceptable,,Yes,YES,NO,NO,Yes,ROVING,35
